Indicators,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996
Arrivals(10000 person-times),2598.54,2636.1,2629,2719.15,2711.2,2612.69,2193.75,2432.53,2610.97,2221.03,2025.51,1693.25,1140.29,1343.95,1122.64,1016.04,843.23,710.77,742.8,
Asia(10000 person-times),1659.47,1633.1,1606,1662.22,1662.32,1617.86,1377.93,1455.1,1606.12,1358.82,1249.99,1073.14,726.08,851.89,686.42,610.15,499.27,400.06,428.17,
Korea D.P.Rep.(10000 person-times),18.83,18.4,20.7,18.06,15.23,11.64,10.56,10.18,11.37,11.01,12.58,11.21,7.71,7.93,7.71,7.64,6.98,6.12,7.14,
India(10000 person-times),73.05,71,67.7,61.02,60.65,54.93,44.89,43.66,46.25,40.51,35.65,30.94,21.91,21.36,15.94,12.09,8.42,6.57,6.05,
Indonesia(10000 person-times),54.48,56.7,60.5,62.2,60.87,57.34,46.9,42.63,47.71,43.3,37.76,34.98,23.18,27.47,22.42,22.06,18.29,10.46,14.73,
Japan(10000 person-times),249.77,271.8,287.8,351.82,365.82,373.12,331.75,344.61,397.75,374.59,339,333.43,225.48,292.56,238.57,220.15,185.52,157.21,158.17,
Malaysia(10000 person-times),107.55,113,120.7,123.55,124.51,124.52,105.9,104.05,106.2,91.06,89.96,74.19,43.01,59.24,46.86,44.1,37.29,30.01,36.13,
Mongolia(10000 person-times),101.41,108.3,105,101.05,99.42,79.44,57.67,70.53,68.2,63.12,64.2,55.38,41.83,45.31,38.71,39.91,35.45,26.48,34.29,
Philippines(10000 person-times),100.4,96.8,99.7,96.2,89.43,82.83,74.89,79.53,83.3,70.42,65.4,54.94,45.77,50.86,40.8,36.39,29.83,25.65,27.67,
Singapore(10000 person-times),90.53,97.1,96.7,102.77,106.3,100.37,88.95,87.58,92.2,82.79,75.59,63.68,37.81,49.71,41.5,39.94,35.25,31.64,31.68,
Republic of Korea(10000 person-times),444.44,418.2,396.9,406.99,418.54,407.64,319.75,396.04,477.71,392.4,354.53,284.49,194.55,212.43,167.88,134.47,99.2,63.28,78.11,
Thailand(10000 person-times),64.15,61.3,65.2,64.76,60.8,63.55,54.18,55.43,61.16,59.2,58.63,46.42,27.54,38.63,29.84,24.11,20.64,14.43,16.85,
Africa(10000 person-times),58.02,59.7,55.3,52.49,48.88,46.36,40.12,37.84,37.91,29.38,23.8,17.34,10.42,9.85,7.32,6.56,5.21,5.43,4.91,
Europe(10000 person-times),491.67,551.4,568.8,594.82,593.78,569.79,459.11,612.33,621.68,527.96,479.14,377.71,260,294.86,268.38,248.9,211.27,187.33,201.83,
United Kingdom(10000 person-times),57.96,60.5,62.5,61.84,59.57,57.5,52.88,55.15,60.51,55.26,49.96,41.81,28.83,34.3,30.25,28.39,25.89,24.29,22.79,
Germany(10000 person-times),62.34,66.3,64.9,65.96,63.7,60.86,51.85,52.89,55.67,50.06,45.49,36.53,22.2,28.18,25.34,23.91,21.76,19.19,18.47,
France(10000 person-times),48.69,51.7,53.4,52.48,49.31,51.27,42.48,43,46.34,40.22,37.2,28.11,15.61,22.21,19.95,18.5,15.56,13.8,13.13,
Italy(10000 person-times),24.61,25.3,25.1,25.2,23.5,22.92,19.14,19.44,21.52,19.53,19.7,12.24,6.58,9.17,7.77,7.78,7.22,7.25,6.51,
Netherlands(10000 person-times),18.18,18,18.9,19.55,19.75,18.91,16.69,18.09,19.41,16.78,14.58,11.74,6.79,10.04,9.3,7.6,7.01,5.89,5.23,
Portugal(10000 person-times),5.34,5.2,4.9,4.86,4.7,4.77,4.36,4.39,4.83,4.45,4.38,3.95,3.01,3.61,2.68,2.28,4.02,3.85,3.58,
Sweden(10000 person-times),11.84,14.2,15.9,17.16,17.01,15.45,12.58,13.77,14.51,12.96,11.03,8.72,5,6.28,5.28,5.36,4.68,4.06,3.85,
Switzerland(10000 person-times),7.27,8,8.1,8.28,7.53,7.43,6.26,6.34,6.46,5.79,5.14,4.07,2.37,3.24,3.08,3.07,2.99,2.84,3.03,
Russia(10000 person-times),158.23,204.6,218.6,242.61,253.63,237.03,174.3,312.34,300.39,240.51,222.39,179.22,138.07,127.16,119.62,108.02,83.3,69.2,81.37,
Latin America(10000 person-times),34.98,34.6,35.4,35.31,33.69,30.05,23.1,26.03,24.26,19.58,16.05,13.25,8.01,9.66,7.45,8.29,7.59,7.46,7.66,
North America(10000 person-times),276.56,276,277,282.64,286.42,269.49,226.01,232.12,256.15,221,198.53,165.67,105.29,141.26,120.31,113.28,95.01,87.33,79.05,
Canada(10000 person-times),67.98,66.7,68.4,70.83,74.8,68.53,55.03,53.47,57.72,49.91,42.98,34.8,23.03,29.13,25.39,23.66,21.37,19.6,17.41,
United States(10000 person-times),208.58,209.3,208.5,211.81,211.61,200.96,170.98,178.64,190.12,171.03,155.55,130.86,82.25,112.12,94.92,89.62,73.64,67.73,61.64,
Oceanic and Pacific Islands(10000 person-times),77.64,81,86.3,91.49,85.93,78.93,67.24,68.88,72.85,63.86,57.36,45.19,29.98,35.32,30.97,28.18,24.38,22.48,19.35,
Australia(10000 person-times),63.73,67.2,72.3,77.43,72.62,66.13,56.15,57.15,60.74,53.81,48.3,37.63,24.54,29.13,25.51,23.41,20.35,18.64,15.68,
New Zealand(10000 person-times),12.54,12.7,12.9,12.83,12.09,11.61,10.04,10.52,10.87,8.86,7.84,6.46,4.34,5.02,4.44,3.76,3.14,3,2.83,
Other Countries/Regions(10000 person-times),0.21,0.18,0.22,0.19,0.19,0.21,0.22,0.23,0.31,0.43,0.65,0.96,0.51,1.11,1.79,0.68,0.5,0.68,1.83,
